10.8,-9.6,4.8,0,0,0,
10.8,-9.57965,4.8,0,0.0208768,0,
10.8,-9.53789,4.77965,0,0.0208768,-0.0208768,
10.8,-9.49614,4.71754,0,0.0208768,-0.0417537,
10.7796,-9.45438,4.63403,-0.0208768,0.0208768,-0.0417537,
10.7175,-9.41263,4.55052,-0.0417537,0.0208768,-0.0417537,
10.6544,-9.37088,4.46701,-0.0208768,0.0208768,-0.0417537,
10.633,-9.32912,4.38351,-1.0842e-18,0.0208768,-0.0417537,
10.633,-9.28737,4.32035,-1.0842e-18,0.0208768,-0.0208768,
10.633,-9.24562,4.2786,-1.0842e-18,0.0208768,-0.0208768,
10.6126,-9.20386,4.23685,-0.0208768,0.0208768,-0.0208768,
10.5709,-9.16211,4.21545,-0.0208768,0.0208768,-1.0842e-18,
10.5291,-9.1,4.21545,-0.0208768,0.0417537,-1.0842e-18,
10.5077,-9.01649,4.21545,-1.0842e-18,0.0417537,-1.0842e-18,
10.5077,-8.93299,4.2358,-1.0842e-18,0.0417537,0.0208768,
10.5077,-8.84948,4.29791,-1.0842e-18,0.0417537,0.0417537,
10.5077,-8.78633,4.38142,-1.0842e-18,0.0208768,0.0417537,
10.5077,-8.74457,4.44457,-1.0842e-18,0.0208768,0.0208768,
10.5077,-8.70282,4.46597,-1.0842e-18,0.0208768,1.0842e-18,
10.5077,-8.64071,4.46597,-1.0842e-18,0.0417537,1.0842e-18,
10.5077,-8.5572,4.44562,-1.0842e-18,0.0417537,-0.0208768,
10.5281,-8.4737,4.40386,0.0208768,0.0417537,-0.0208768,
10.5902,-8.39019,4.36211,0.0417537,0.0417537,-0.0208768,
10.6737,-8.30668,4.34071,0.0417537,0.0417537,2.38524e-18,
10.7572,-8.22317,4.36106,0.0417537,0.0417537,0.0208768,
10.8407,-8.13967,4.38246,0.0417537,0.0417537,1.0842e-18,
10.9039,-8.05616,4.38246,0.0208768,0.0417537,1.0842e-18,
10.9456,-7.97265,4.40282,0.0208768,0.0417537,0.0208768,
10.967,-7.88914,4.44457,1.0842e-18,0.0417537,0.0208768,
10.967,-7.80564,4.50668,1.0842e-18,0.0417537,0.0417537,
10.9467,-7.72213,4.59019,-0.0208768,0.0417537,0.0417537,
10.9049,-7.65898,4.6737,-0.0208768,0.0208768,0.0417537,
10.8632,-7.63758,4.7572,-0.0208768,1.0842e-18,0.0417537,
10.801,-7.63758,4.84071,-0.0417537,1.0842e-18,0.0417537,
10.7175,-7.65793,4.92422,-0.0417537,-0.0208768,0.0417537,
10.75,-7.8,5,0,0,0,
